pmid,title,keywords,pubyear,jid
30518093,Modeling Parkinson's Disease and Atypical Parkinsonian Syndromes Using Induced Pluripotent Stem Cells.,CRISPR; FTDP-17; Parkinson’s disease; Perry syndrome; atypical parkinsonian syndromes; induced pluripotent stem cells; multiple system atrophy; proteinopathy,2018,1
30519012,A posturographic procedure assessing balance disorders in Parkinson's disease: a systematic review.,Parkinson’s disease; balance disorders; postural instability; posturography,2018,2
30519161,Divergent Effects of Metformin on an Inflammatory Model of Parkinson's Disease.,AMPK; Parkinson’s disease; animal model; metformin; microglia activation; neuroinflammation,2018,3
30519167,Disruption of Multiple Distinctive Neural Networks Associated With Impulse Control Disorder in Parkinson's Disease.,Go/No Go task; Parkinson's disease; delay discounting task; fMRI; functional connectivity; impulse control disorder,2018,4
30519184,Structural Brain Correlates of Attention Dysfunction in Lewy Body Dementias and Alzheimer's Disease.,Parkinson’s disease dementia; alerting; attention network test; dementia with Lewy bodies; executive conflict; orienting; reaction times; voxel-based morphometry,2018,5
30519212,White Matter Changes Along the Electrode Lead in Patients Treated With Deep Brain Stimulation.,Deep brain stimulation (DBS); MRI; Parkinson's disease (PD); electrode lead; white matter changes,2018,6
30522497,Generalizing remotely supervised transcranial direct current stimulation (tDCS): feasibility and benefit in Parkinson's disease.,Multiple sclerosis; Parkinson’s disease; Telerehabilitation; Transcranial direct current stimulation; tDCS,2018,7
30524223,Orexin-A Exerts Neuroprotective Effects via OX1R in Parkinson's Disease.,BDNF; MPTP parkinsonian model; Parkinson’s disease; behavior; orexin-A,2018,8
30524265,New Perspectives on Roles of Alpha-Synuclein in Parkinson's Disease.,Parkinson’s disease; alpha-synuclein; neurodegeneration; neurotherapy; prion-like,2018,5
30524270,"Quantifying Dynamic Balance in Young, Elderly and Parkinson's Individuals: A Systematic Review.",Parkinson's disease; dynamic balance; falls; perturbations; walking stability,2018,5
