A,B
30518093,30344007
30518093,30344006
30518093,30057263
30518093,29511098
30518093,29364288
30518093,29273399
30518093,29151169
30518093,29112121
30518093,29089398
30518093,28892059
30518093,28882997
30518093,28858313
30518093,28789478
30518093,28780180
30518093,28725696
30518093,28625517
30518093,28579476
30518093,28416701
30518093,28256506
30518093,28235153
30518093,28157108
30518093,28057485
30518093,28009087
30518093,27980341
30518093,27739432
30518093,27721502
30518093,27499201
30518093,27476966
30518093,27346608
30518093,27120160
30518093,26628643
30518093,26618722
30518093,26499757
30518093,26373282
30518093,26240036
30518093,26237226
30518093,26235891
30518093,26220942
30518093,26143746
30518093,26056228
30518093,26046759
30518093,26005811
30518093,25904081
30518093,25775569
30518093,25621111
30518093,25556567
30518093,25383599
30518093,25064009
30518093,24998994
30518093,24906146
30518093,24672756
30518093,24507191
30518093,24315443
30518093,24262191
30518093,24239350
30518093,23472874
30518093,23467164
30518093,23371366
30518093,23237903
30518093,23063362
30518093,23039195
30518093,22764206
30518093,22407749
30518093,22328536
30518093,22314364
30518093,21993621
30518093,21863007
30518093,21700325
30518093,21508222
30518093,21430656
30518093,21362567
30518093,20942898
30518093,20581816
30518093,20547124
30518093,20512649
30518093,19846850
30518093,19297401
30518093,19269371
30518093,19136952
30518093,19098894
30518093,18691744
30518093,18669821
30518093,18520774
30518093,18035408
30518093,17898702
30518093,17653732
30518093,17568013
30518093,16904174
30518093,16899117
30518093,16556709
30518093,14735124
30518093,9770561
30518093,8096623
30519012,29737198
30519012,28954481
30519012,27348819
30519012,26741255
30519012,26582134
30519012,26517212
30519012,26504611
30519012,26316998
30519012,26149283
30519012,25457071
30519012,25143549
30519012,25031483
30519012,24691816
30519012,24671005
30519012,24466187
30519012,23936729
30519012,23647655
30519012,23609352
30519012,22888319
30519012,22877844
30519012,22030976
30519012,21740307
30519012,21412830
30519012,21153725
30519012,21126990
30519012,20832347
30519012,20800915
30519012,20665348
30519012,20388604
30519012,19945285
30519012,19854057
30519012,19026965
30519012,18789756
30519012,18591014
30519012,18380279
30519012,18155331
30519012,18093549
30519012,18044726
30519012,17644337
30519012,17609881
30519012,17595043
30519012,16944355
30519012,16926210
30519012,16901637
30519012,16817196
30519012,16530203
30519012,16487527
30519012,16269212
30519012,16047175
30519012,15869953
30519012,12784268
30519012,12722162
30519012,11500575
30519012,11427288
30519012,9776467
30519012,8793751
30519012,8139608
30519012,6067254
30519012,2138696
30519012,1736324
30519161,30258234
30519161,30206330
30519161,30107806
30519161,29942040
30519161,29778803
30519161,29761156
30519161,29743866
30519161,29719505
30519161,29718367
30519161,29699914
30519161,29649621
30519161,29611482
30519161,29174171
30519161,29132391
30519161,29111328
30519161,28930663
30519161,28807678
30519161,28602351
30519161,28583443
30519161,28203479
30519161,28018360
30519161,27669650
30519161,27467571
30519161,27276511
30519161,27207919
30519161,26971375
30519161,26821015
30519161,26211973
30519161,26152715
30519161,26132721
30519161,26059357
30519161,25639775
30519161,25315906
30519161,25172433
30519161,25108167
30519161,25064009
30519161,24791887
30519161,24424382
30519161,23800361
30519161,23515615
30519161,23086037
30519161,22503440
30519161,22108613
30519161,21628463
30519161,21626550
30519161,21411503
30519161,21378214
30519161,21124315
30519161,20659322
30519161,20347450
30519161,20079433
30519161,20012266
30519161,19442825
30519161,19356970
30519161,19296921
30519161,19286276
30519161,19090996
30519161,18710400
30519161,18599528
30519161,18504291
30519161,18044695
30519161,17950926
30519161,17947670
30519161,17761552
30519161,17720159
30519161,17495632
30519161,17433296
30519161,17251276
30519161,16732273
30519161,16385087
30519161,16240369
30519161,15983226
30519161,15599609
30519161,14502103
30519161,12925360
30519161,12603843
30519161,12191486
30519161,12072366
30519161,12067227
30519161,11717581
30519161,11099416
30519161,10964613
30519161,10839993
30519161,10617608
30519161,9580157
30519161,8988390
30519161,7542643
30519161,3399080
30519161,3056461
30519167,29383446
30519167,28315845
30519167,28108021
30519167,27215393
30519167,27048443
30519167,26798982
30519167,25925985
30519167,25649923
30519167,25476402
30519167,25406711
30519167,25370355
30519167,25037206
30519167,24893708
30519167,24832846
30519167,24578545
30519167,24465678
30519167,24434037
30519167,24038587
30519167,23833269
30519167,23565936
30519167,23490464
30519167,23378222
30519167,23296128
30519167,23123689
30519167,22986077
30519167,22766031
30519167,22713671
30519167,22526761
30519167,22134476
30519167,21983019
30519167,21725242
30519167,21596771
30519167,21543619
30519167,21486295
30519167,21389298
30519167,21284039
30519167,21247790
30519167,21069833
30519167,20976739
30519167,20671181
30519167,20589879
30519167,20152119
30519167,20138482
30519167,20123548
30519167,19404616
30519167,19346328
30519167,18384246
30519167,17897403
30519167,17850833
30519167,17121746
30519167,16543934
30519167,15716523
30519167,15528409
30519167,12880848
30519167,12498954
30519167,11771995
30519167,9344826
30519167,8778124
30519167,8401595
30519167,6067254
30519167,3450848
30519167,1564476
30519167,1202204
30519167,444788
30519184,28592453
30519184,27147117
30519184,26705763
30519184,26270627
30519184,26260856
30519184,25059393
30519184,23681401
30519184,23038420
30519184,22500014
30519184,21572439
30519184,21514250
30519184,20525771
30519184,20145400
30519184,19173762
30519184,18848632
30519184,18024777
30519184,17972045
30519184,17761438
30519184,17542011
30519184,17287240
30519184,16772356
30519184,16594774
30519184,16407544
30519184,16237129
30519184,15907304
30519184,15558781
30519184,15324362
30519184,14966152
30519184,14749292
30519184,14743362
30519184,14568499
30519184,12473758
30519184,11970796
30519184,11405813
30519184,11113036
30519184,10762503
30519184,10720273
30519184,9055266
30519184,2183676
30519212,28164377
30519212,27753157
30519212,26011773
30519212,25842260
30519212,25086832
30519212,24050735
30519212,23801735
30519212,23208668
30519212,22314706
30519212,22166423
30519212,21894061
30519212,21692113
30519212,21574186
30519212,20959310
30519212,20187699
30519212,19288469
30519212,18538636
30519212,18073522
30519212,17443691
30519212,17250719
30519212,16810722
