pmc	pmid	filename	fullpath
5268024	27977578	PMC5268024.nxml	./data/non_comm_use.I-N.xml/Medicine_(Baltimore)/PMC5268024.nxml
5429242	28529878	PMC5429242.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC5429242.nxml
5679418	29030452	PMC5679418.nxml	./data/non_comm_use.I-N.xml/Neurology/PMC5679418.nxml
4713462	26298728	PMC4713462.nxml	./data/non_comm_use.I-N.xml/J_Neural_Transm_(Vienna)/PMC4713462.nxml
5685544	28671140	PMC5685544.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5685544.nxml
5028156	27332626	PMC5028156.nxml	./data/non_comm_use.C-H.xml/Clin_Neuropharmacol/PMC5028156.nxml
4614141	25732184	PMC4614141.nxml	./data/non_comm_use.A-B.xml/Brain/PMC4614141.nxml
4163032	25034897	PMC4163032.nxml	./data/non_comm_use.A-B.xml/Brain/PMC4163032.nxml
3101890	21654875	PMC3101890.nxml	./data/non_comm_use.I-N.xml/Neuropsychiatr_Dis_Treat/PMC3101890.nxml
4614131	25888551	PMC4614131.nxml	./data/non_comm_use.A-B.xml/Brain/PMC4614131.nxml
3501966	22382359	PMC3501966.nxml	./data/non_comm_use.A-B.xml/Brain/PMC3501966.nxml
4107740	24919969	PMC4107740.nxml	./data/non_comm_use.A-B.xml/Brain/PMC4107740.nxml
4876591	26644151	PMC4876591.nxml	./data/non_comm_use.C-H.xml/Curr_Neuropharmacol/PMC4876591.nxml
4782783	25627959	PMC4782783.nxml	./data/non_comm_use.C-H.xml/Hum_Brain_Mapp/PMC4782783.nxml
5095868	26865375	PMC5095868.nxml	./data/non_comm_use.I-N.xml/J_Neurochem/PMC5095868.nxml
5732865	28986467	PMC5732865.nxml	./data/non_comm_use.I-N.xml/J_Neurol_Neurosurg_Psychiatry/PMC5732865.nxml
4228081	25264022	PMC4228081.nxml	./data/non_comm_use.O-Z.xml/Parkinsonism_Relat_Disord/PMC4228081.nxml
3488700	23125461	PMC3488700.nxml	./data/non_comm_use.I-N.xml/J_Med_Genet/PMC3488700.nxml
5763269	28833562	PMC5763269.nxml	./data/non_comm_use.I-N.xml/Mov_Disord/PMC5763269.nxml
5964830	29845011	PMC5964830.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC5964830.nxml
5318570	28193849	PMC5318570.nxml	./data/non_comm_use.A-B.xml/BMJ_Open/PMC5318570.nxml
5379862	27807026	PMC5379862.nxml	./data/non_comm_use.A-B.xml/Brain/PMC5379862.nxml
4235340	24395708	PMC4235340.nxml	./data/non_comm_use.I-N.xml/Mov_Disord/PMC4235340.nxml
4887129	26406139	PMC4887129.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC4887129.nxml
3995329	24187013	PMC3995329.nxml	./data/non_comm_use.I-N.xml/J_Neurol_Neurosurg_Psychiatry/PMC3995329.nxml
2787725	19915575	PMC2787725.nxml	./data/non_comm_use.I-N.xml/Nat_Genet/PMC2787725.nxml
4817903	27066581	PMC4817903.nxml	./data/non_comm_use.I-N.xml/Neurol_Genet/PMC4817903.nxml
5324667	27859866	PMC5324667.nxml	./data/non_comm_use.C-H.xml/Eur_J_Neurosci/PMC5324667.nxml
4244792	25552854	PMC4244792.nxml	./data/non_comm_use.I-N.xml/J_Neurosci_Rural_Pract/PMC4244792.nxml
4805087	26647156	PMC4805087.nxml	./data/non_comm_use.A-B.xml/Brain/PMC4805087.nxml
5608603	28971008	PMC5608603.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC5608603.nxml
4876589	26644155	PMC4876589.nxml	./data/non_comm_use.C-H.xml/Curr_Neuropharmacol/PMC4876589.nxml
4876590	26585523	PMC4876590.nxml	./data/non_comm_use.C-H.xml/Curr_Neuropharmacol/PMC4876590.nxml
4282380	24834511	PMC4282380.nxml	./data/non_comm_use.C-H.xml/Eur_J_Neurol/PMC4282380.nxml
4107646	25206422	PMC4107646.nxml	./data/non_comm_use.I-N.xml/Neural_Regen_Res/PMC4107646.nxml
5611804	28777755	PMC5611804.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5611804.nxml
