jid,name
1,International journal of molecular sciences
2,Clinical interventions in aging
3,Frontiers in cellular neuroscience
4,Frontiers in human neuroscience
5,Frontiers in aging neuroscience
6,Frontiers in neurology
7,Journal of neuroengineering and rehabilitation
8,Frontiers in neuroscience
9,Journal of cardiology cases
10,Translational neurodegeneration
11,Stem cell reports
12,Proceedings of the National Academy of Sciences of the United States of America
13,Nature
14,Neuroscience letters
15,Acta neuropathologica
16,"Journal of neurology, neurosurgery, and psychiatry"
17,Nature genetics
18,"Science (New York, N.Y.)"
19,Journal of neuropathology and experimental neurology
20,Parkinsonism & related disorders
21,NPJ Parkinson's disease
22,EBioMedicine
23,New biotechnology
24,Scientific reports
25,Neuropathology and applied neurobiology
26,Journal of Parkinson's disease
27,Biochemical and biophysical research communications
28,Movement disorders : official journal of the Movement Disorder Society
29,Nature reviews. Drug discovery
30,Nature communications
31,Cell stem cell
32,Nature medicine
33,Molecular neurodegeneration
34,Nature reviews. Neurology
35,Nature methods
36,Brain : a journal of neurology
37,Human molecular genetics
38,"Lancet (London, England)"
39,World journal of stem cells
40,Nature biotechnology
41,Cell
42,Neuron
43,Cell reports
44,The Lancet. Neurology
45,Molecular brain
46,Science translational medicine
47,EMBO molecular medicine
48,"Stem cells (Dayton, Ohio)"
49,The Journal of neuroscience : the official journal of the Society for Neuroscience
50,Clinical pharmacology and therapeutics
51,Nature neuroscience
52,The New England journal of medicine
53,Neurology
54,Orphanet journal of rare diseases
55,Nature reviews. Genetics
56,Clinical rehabilitation
57,Annals of agricultural and environmental medicine : AAEM
58,Gait & posture
59,Human movement science
60,Physiotherapy
61,Arquivos de neuro-psiquiatria
62,Parkinson's disease
63,Journal of neurodegenerative diseases
64,Brazilian journal of otorhinolaryngology
65,Journal of neurophysiology
66,Iranian journal of medical sciences
67,Aging clinical and experimental research
68,PloS one
69,The International journal of neuroscience
70,Experimental brain research
71,Journal of rehabilitation research and development
72,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society
73,Neurophysiologie clinique = Clinical neurophysiology
74,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology
75,The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques
76,"Clinical biomechanics (Bristol, Avon)"
77,Journal of neurology
78,Age and ageing
79,Journal of biomechanics
80,Injury
81,Experimental neurology
82,Motor control
83,Medical progress through technology
84,Progress in neurobiology
85,Nature reviews. Neuroscience
86,BMC complementary and alternative medicine
87,Neurobiology of aging
88,EXCLI journal
89,Neurobiology of disease
90,Current pharmaceutical design
91,Immunity
92,Neuropharmacology
93,Progress in neuro-psychopharmacology & biological psychiatry
94,Aging and disease
95,Frontiers in immunology
96,Trends in biochemical sciences
97,Molecular and cellular endocrinology
98,The international journal of neuropsychopharmacology
99,Toxicology and applied pharmacology
100,The Journal of biological chemistry
101,Antioxidants & redox signaling
102,Current topics in medicinal chemistry
103,Trends in neurosciences
104,Journal of neuroinflammation
105,Molecular neurobiology
106,Neuroscience
107,Chinese medical journal
108,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism
109,Frontiers in computational neuroscience
110,Diabetes
111,Trends in pharmacological sciences
112,Diabetes care
113,Journal of the neurological sciences
114,Biochimica et biophysica acta
115,Naunyn-Schmiedeberg's archives of pharmacology
116,Neurotoxicology
117,BMC neuroscience
118,Fundamental & clinical pharmacology
119,"Journal of immunology (Baltimore, Md. : 1950)"
120,Current opinion in neurology
121,"Arteriosclerosis, thrombosis, and vascular biology"
122,Annals of neurology
123,"Journal of neural transmission (Vienna, Austria : 1996)"
124,Diabetes & metabolism
125,Archives of neurology
126,Journal of neurochemistry
127,Molecular cell
128,Trends in immunology
129,Journal of endotoxin research
130,The Biochemical journal
131,FEMS immunology and medical microbiology
132,Immunopharmacology
133,"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica"
134,Cell and tissue research
135,Current neurology and neuroscience reports
136,Expert opinion on pharmacotherapy
137,Human brain mapping
138,Behavioral neuroscience
139,Clinical neuropharmacology
140,NeuroImage
141,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology
142,Psychopharmacology
143,Annals of the New York Academy of Sciences
144,Psychiatry research
145,The Journal of clinical psychiatry
146,The European journal of neuroscience
147,Neuropsychologia
148,Journal of clinical psychology
149,Brain research. Brain research reviews
150,Journal of pharmacokinetics and biopharmaceutics
151,Journal of psychiatric research
152,The British journal of psychiatry : the journal of mental science
153,Journal of neuropsychology
154,International journal of geriatric psychiatry
155,Drugs & aging
156,Neuro-degenerative diseases
157,Alzheimer's & dementia : the journal of the Alzheimer's Association
158,"Cerebral cortex (New York, N.Y. : 1991)"
159,Dementia and geriatric cognitive disorders
160,International psychogeriatrics
161,Practical neurology
162,Neuropsychology
163,"Anatomical record. Part B, New anatomist"
164,Journal of internal medicine
165,Journal of cognitive neuroscience
166,Annual review of neuroscience
167,Brain structure & function
168,Stereotactic and functional neurosurgery
169,Journal of neurosurgery
170,European journal of neurology
171,Brain stimulation
172,Journal of visualized experiments : JoVE
173,"Multiple sclerosis (Houndmills, Basingstoke, England)"
174,Neuromodulation : journal of the International Neuromodulation Society
175,Journal of rehabilitation medicine
176,Neuroscience and biobehavioral reviews
177,Clinical research and regulatory affairs
178,Frontiers in systems neuroscience
179,JAMA neurology
180,Applied neuropsychology. Adult
181,Therapeutic advances in neurological disorders
182,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics
183,Medical care
184,American journal of epidemiology
185,Journal of personality and social psychology
186,Current biology : CB
187,Neurobiology of learning and memory
188,Neurological research
189,Frontiers in physiology
190,Neuroscience bulletin
191,Current topics in behavioral neurosciences
192,Rejuvenation research
193,Journal of neuroscience research
194,Journal of basic and clinical physiology and pharmacology
195,"European journal of pain (London, England)"
196,Cellular signalling
197,Frontiers in bioscience (Scholar edition)
198,Peptides
199,Neurochemistry international
200,British journal of pharmacology
201,"American journal of physiology. Regulatory, integrative and comparative physiology"
202,Molecular pharmacology
203,Journal of chemical neuroanatomy
204,The Journal of pharmacology and experimental therapeutics
205,Frontiers in behavioral neuroscience
206,Cellular and molecular neurobiology
207,Brain research
208,Behavioural brain research
209,"Cerebellum (London, England)"
210,Frontiers in neuroendocrinology
211,The pharmacogenomics journal
212,European journal of endocrinology
213,American journal of physiology. Endocrinology and metabolism
214,Regulatory peptides
215,Neuroendocrinology
216,The Journal of comparative neurology
217,Journal of neuroendocrinology
218,Neuroreport
219,Journal of neuroscience methods
220,Neurosurgery
221,Advances in neurology
222,Biochemical pharmacology
223,Cell research
224,eLife
225,JAMA pediatrics
226,Frontiers in molecular neuroscience
227,CNS drugs
228,Molecular and cellular neurosciences
229,"Synapse (New York, N.Y.)"
230,Toxicology letters
231,Autophagy
232,The Journal of experimental medicine
233,Nature structural & molecular biology
234,Journal of cell science
235,The Journal of physiology
236,Biochemistry
237,The EMBO journal
238,General physiology and biophysics
239,Cell death & disease
240,The Journal of clinical investigation
241,Acta neuropathologica communications
242,Biomolecules
